urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-ksos:1.0:base:station1:village1:adc0,urn:ogc:def:parameter:x-ksos:1.0:base:station1:village1:air_temperature
2014-02-23T01:56:56.241153+05:30,66,21.26953125
2014-02-23T02:12:57.501380+05:30,65,20.94726563
2014-02-23T02:28:58.781841+05:30,66,21.26953125
2014-02-23T02:45:00.292194+05:30,63,20.30273438
2014-02-23T03:01:01.747787+05:30,61,19.65820313
2014-02-23T03:17:03.045971+05:30,59,19.01367188
2014-02-23T03:33:04.176895+05:30,59,19.01367188
2014-02-23T03:49:05.581696+05:30,60,19.3359375
2014-02-23T04:05:06.918652+05:30,58,18.69140625
2014-02-23T04:21:08.313959+05:30,58,18.69140625
2014-02-23T04:37:09.693899+05:30,58,18.69140625
2014-02-23T04:53:11.259172+05:30,55,17.72460938
2014-02-23T05:09:12.390571+05:30,55,17.72460938
2014-02-23T05:25:13.653066+05:30,57,18.36914063
2014-02-23T05:41:14.868883+05:30,56,18.046875
2014-02-23T05:57:15.992778+05:30,54,17.40234375
2014-02-23T06:13:17.379540+05:30,54,17.40234375
2014-02-23T06:29:18.413028+05:30,53,17.08007813
2014-02-23T06:45:43.313113+05:30,54,17.40234375
2014-02-23T07:01:44.436781+05:30,54,17.40234375
2014-02-23T07:17:45.566463+05:30,60,19.3359375
2014-02-23T07:33:47.048746+05:30,70,22.55859375
2014-02-23T07:49:48.204249+05:30,79,25.45898438
2014-02-23T08:05:50.524597+05:30,89,28.68164063
2014-02-23T08:21:51.692677+05:30,93,29.97070313
2014-02-23T08:37:54.368645+05:30,98,31.58203125
2014-02-23T08:53:55.326550+05:30,91,29.32617188
2014-02-23T09:09:56.633283+05:30,81,26.10351563
2014-02-23T09:25:57.785287+05:30,80,25.78125
2014-02-23T09:41:58.866252+05:30,90,29.00390625
2014-02-23T09:58:00.250715+05:30,94,30.29296875
2014-02-23T10:14:01.511109+05:30,89,28.68164063
2014-02-23T10:30:02.659253+05:30,99,31.90429688
2014-02-23T10:46:03.766627+05:30,98,31.58203125
2014-02-23T11:02:04.987518+05:30,97,31.25976563
2014-02-23T11:18:06.338414+05:30,100,32.2265625
2014-02-23T11:34:07.332423+05:30,102,32.87109375
2014-02-23T11:50:08.515165+05:30,106,34.16015625
2014-02-23T12:06:09.715061+05:30,101,32.54882813
2014-02-23T12:22:10.805007+05:30,105,33.83789063
2014-02-23T12:38:11.863722+05:30,107,34.48242188
2014-02-23T12:54:13.830701+05:30,105,33.83789063
2014-02-23T13:10:15.153028+05:30,109,35.12695313
2014-02-23T13:26:16.227595+05:30,109,35.12695313
2014-02-23T13:42:17.528272+05:30,98,31.58203125
2014-02-23T13:58:18.515695+05:30,67,21.59179688
2014-02-23T14:14:19.691435+05:30,80,25.78125
